from,to,weight,relationship
4,1,2,1
4,2,2,1
4,3,2,1
5,3,2,1
5,6,1,1
5,7,2,1
8,3,2,1
8,4,1,1
8,9,2,1
10,3,2,1
11,3,2,1
12,3,2,1
13,3,2,1
14,3,2,1
15,3,1,1
16,3,2,1
17,3,1,1
18,3,1,1
19,3,1,1
20,3,1,1
21,3,1,1
22,23,2,1
24,25,2,1
26,24,1,1
27,24,1,1
27,25,1,1
28,29,2,1
29,39,2,1
29,30,2,2
30,28,2,1
41,43,2,1
31,29,2,2
31,28,2,1
41,44,2,1
32,28,2,1
33,40,1,1
41,45,2,1
34,35,2,1
34,9,2,1
34,3,1,1
34,36,2,1
37,35,2,1
45,44,2,1
38,4,2,1
3,25,2,1
3,28,2,1
3,33,2,1
3,22,2,1
3,9,2,1
3,37,2,1
44,46,2,1
45,46,2,1
31,42,2,1
31,46,2,1
31,47,2,2
48,57,2,1
47,30,2,2
48,49,1,1
49,4,2,1
47,2,1,1
48,4,2,1
55,3,2,1
55,4,2,1
56,3,2,1
56,4,2,1
51,3,2,1
51,4,2,1
50,51,2,1
50,4,2,1
52,51,2,1
52,53,2,1
54,53,2,1
54,55,2,1
54,42,2,1
54,56,2,1
54,40,2,1
40,56,2,1
54,30,2,2
75,76,1,1
77,75,1,1
77,76,1,1
87,75,1,1
87,76,1,1
87,77,1,1
88,87,2,1
88,75,2,1
88,76,2,1
88,77,2,1
88,54,2,1
54,78,1,1
54,83,1,1
54,79,1,1
54,31,1,1
80,79,1,1
79,81,1,1
79,73,1,1
80,82,1,1
81,82,1,1
73,82,1,1
71,31,1,1
71,58,2,1
82,66,2,1
66,58,1,1
66,68,1,1
68,69,2,2
68,67,1,2
67,58,1,1
69,58,1,1
66,65,1,1
65,58,1,1
65,54,1,1
64,58,1,1
63,64,1,1
63,58,1,1
63,62,1,1
62,58,1,1
62,61,1,1
61,58,1,1
60,61,1,1
60,58,1,1
89,60,1,1
60,3,1,1
90,91,2,1
90,60,2,2
90,3,1,1
91,3,2,1
60,59,1,1
59,58,1,1
59,40,1,1
40,58,1,1
62,92,1,1
84,85,1,1
85,30,1,1
30,84,1,1
84,92,1,1
85,92,1,1
30,92,1,1
93,4,1,1
94,4,1,1
95,4,1,1
95,100,1,1
96,4,1,1
80,4,1,1
81,4,1,1
73,4,1,1
96,4,1,1
96,101,2,1
97,4,1,1
98,9,2,1
13,37,1,1
16,99,1,1
18,99,2,1
34,99,1,1
48,28,2,1
103,99,2,1
103,100,1,1
103,101,1,1
103,104,2,2
103,105,1,2
104,105,2,1
104,106,1,2
104,107,2,2
104,108,2,2
104,109,2,2
105,106,1,2
105,107,1,2
105,108,2,2
105,110,1,2
105,112,2,1
105,114,1,1
105,116,1,1
105,117,1,1
105,119,1,2
105,121,2,2
105,123,1,2
105,125,2,1
105,127,1,1
106,99,2,1
106,100,2,1
106,82,2,2
106,83,2,2
106,104,2,1
106,105,1,1
106,107,1,1
106,111,1,1
106,120,1,1
107,104,2,2
107,105,2,1
107,106,1,1
107,108,1,2
107,109,2,2
107,110,1,1
107,112,1,1
107,114,2,2
107,116,1,1
107,117,1,1
107,119,1,1
108,106,2,2
108,107,1,2
108,109,2,2
108,110,2,1
108,111,1,1
108,112,2,2
108,114,2,1
108,115,1,1
108,116,1,1
108,117,1,1
108,119,2,1
108,120,1,1
108,121,1,1
108,123,1,1
108,125,1,1
108,127,1,1
108,131,2,2
108,132,2,1
108,133,2,2
109,107,1,2
109,108,2,1
109,110,1,1
109,112,1,1
109,114,1,1
109,116,1,2
109,117,1,2
109,119,1,1
109,121,1,1
109,123,1,1
109,125,1,1
109,127,1,1
109,128,1,1
109,129,2,1
109,131,2,1
109,132,2,2
110,111,2,2
110,112,1,1
110,114,1,2
110,116,1,1
110,117,1,2
110,118,1,1
110,119,1,2
110,121,1,1
110,123,1,1
110,125,1,1
110,139,1,1
111,110,1,1
111,112,1,1
112,111,1,1
112,113,2,2
112,114,1,2
113,110,1,2
113,112,1,1
113,114,1,1
114,113,1,2
114,112,2,1
114,115,1,1
114,117,2,1
114,139,1,2
115,110,2,1
115,111,2,2
115,112,1,2
115,113,2,1
115,114,1,1
116,109,2,1
116,110,1,1
116,128,2,2
116,133,2,2
116,136,1,2
117,107,1,2
117,109,1,2
117,119,2,1
117,121,2,1
117,123,1,2
117,127,2,1
117,133,2,2
117,136,1,1
117,118,2,2
118,117,1,1
118,136,1,1
118,109,1,2
118,127,1,2
118,133,1,1
118,136,2,2
118,119,1,1
119,118,1,1
119,116,1,1
119,123,1,1
119,124,1,2
119,134,1,1
119,135,1,2
120,121,1,1
120,114,1,2
120,108,2,1
120,127,1,1
120,131,2,1
120,140,2,2
121,112,2,2
121,116,2,1
121,135,1,1
121,118,1,1
121,136,2,1
121,109,2,2
122,108,1,2
122,103,1,2
122,97,1,1
122,100,1,1
122,123,2,1
122,105,2,2
122,117,2,2
122,119,1,1
122,121,1,2
122,124,2,2
123,102,1,2
123,140,1,2
123,138,2,1
123,97,2,2
123,110,2,2
123,111,1,1
123,124,2,2
124,123,1,2
124,111,2,1
124,117,1,1
124,113,1,1
124,98,1,2
125,123,1,1
125,99,1,2
125,101,2,1
125,140,1,1
125,102,1,1
125,97,1,2
125,113,2,1
125,112,1,1
126,124,1,2
126,112,1,1
126,123,2,1
126,136,1,1
127,128,1,1
127,136,1,1
127,101,2,1
127,123,2,1
127,112,2,2
128,125,1,1
128,124,1,2
128,102,1,1
128,123,1,1
128,127,1,1
128,106,2,1
128,138,2,1
128,140,1,1
129,112,1,2
129,127,1,1
129,136,1,1
129,102,1,1
130,109,1,1
130,102,1,1
130,116,1,1
130,120,1,1
130,110,1,1
130,131,1,1
131,125,1,1
131,124,2,2
131,129,1,1
131,149,1,1
131,112,1,1
132,109,1,1
132,136,2,1
132,128,1,1
132,106,1,1
133,132,1,1
133,140,1,1
133,124,1,2