id,name,name_short,type,sex,branche,party,politician
1,DBProjekt GmbH Stuttgart 21,Projekt GmbH S21,2,,1,,F
2,DBProjektBau GmbH,ProjektBau GmbH,2,,1,,F
3,DB Projekt Stuttgart-Ulm GmbH,Projekt Stuttgart-Ulm GmbH,2,,1,,F
4,Deutsche Bahn AG,Deutsche Bahn AG,2,,1,,F
5,Harald Klein,Harald Klein,1,1,,,F
6,Fridas Pier GmbH,Fridas Pier GmbH,2,,6,,F
7,"Deutsche Verkehrswissenschaftliche Gesellschaft Bezirksvereinigung Württemberg e.V., Stuttgart",DVWG Württemberg,2,,3,,F
8,Manfred Leger,Manfred Leger,1,1,,,F
9,Rail Power Systems GmbH,Rail Power Systems GmbH,2,,2,,F
10,Stefan Penn,Stefan Penn,1,1,,,F
11,Peter Sturm,Peter Sturm,1,1,,,F
12,Olaf Drescher,Olaf Drescher,1,1,,,F
13,Michael Pradel,Michael Pradel,1,1,,,F
14,Frank Meyer,Frank Meyer,1,1,,,F
15,Robert Berghorn,Robert Berghorn,1,1,,,F
16,Günther Hoffmann,Günther Hoffmann,1,1,,,F
17,Prof. Dr. Bernd H. Hillemeier,Bernd Hillemeier,1,1,,,F
18,Bernhard Bauer,Bernhard Bauer,1,1,,,F
19,Claudia Horn,Claudia Horn,1,2,,,F
20,Heike Moll,Heike Moll,1,2,,,F
21,Prof. Dr.-Ing. Jochen Trinckauf,Jochen Trinckauf,1,1,,,F
22,Hochtief AG,Hochtief AG,2,,2,,F
23,Herbert Lütkestratkötter,Herbert Lütkestratkötter,1,1,,,F
24,Grontmij GmbH,Grontmij GmbH,2,,2,,F
25,Sweco GmbH,Sweco GmbH,2,,2,,F
26,David McAllister,David McAllister,1,1,,CDU,T
27,Nicole Razavi,Nicole Razavi,1,2,,CDU,T
28,Herrenknecht AG,Herrenknecht AG,2,,2,,F
29,Martin Herrenknecht,Martin Herrenknecht,1,1,,CDU,F
30,Lothar Späth,Lothar Späth,1,1,,CDU,T
31,Günther Oettinger,Günther Oettinger,1,1,,CDU,T
32,Gerhard Schröder,Gerhard Schröder,1,1,,SPD,T
33,Wolff & Müller Holding GmbH,Wolff Müller GmbH,2,,2,,F
34,Klaus Grewe,Klaus Grewe,1,1,,,F
35,Strabag SE,Strabag SE,2,,2,,F
36,Reformkommission Großprojekte,Reformkommission Großprojekte,2,,4,,F
37,Ed. Züblin AG,Ed. Züblin AG,2,,2,,F
38,Ronald Pofalla,Ronald Pofalla,1,1,,CDU,T
39,Christlich-Demokratische Union Deutschlands,CDU,2,,4,CDU,F
40,Michael Föll,Michael Föll,1,1,,CDU,T
41,Heinrich Haasis,Heinrich Haasis,1,1,,CDU,T
42,Landesbank Baden-Württemberg,LBBW,2,,7,,
43,Deutscher Sparkassen- & Giroverband,DSGV,2,,7,,
44,Sparkassenverband Baden-Württemberg,SVBW,2,,7,,
45,Peter Schneider,Peter Schneider,1,1,,CDU,T
46,Oettinger Gruppe GmbH,Oettinger Gruppe GmbH,2,,7,,
47,Rudolf Häussler,Rudolf Häussler,1,1,,,
48,Rüdiger Grube,Rüdiger Grube,1,1,,,
49,Hartmut Mehdorn,Hartmut Mehdorn,1,1,,,
50,Ullrich Martin,Ullrich Martin,1,1,,,
51,Wissenschaftliches Institut für Verkehrswissenschaften Stuttgart,VWI Stuttgart,2,,5,,
52,Wolfgang Arnold,Wolfgang Arnold,1,1,,,
53,Stuttgarter Straßenbahnen AG,SSB AG,2,,2,,
54,Wolfgang Schuster,Wolfgang Schuster,1,1,,CDU,T
55,Flughafen Stuttgart GmbH,Flughafen Stuttgart GmbH,2,,2,,
56,Stadt Stuttgart,Stadt Stuttgart,2,,9,,
57,Häussler Immobilien GmbH,Häussler Immobilien GmbH,2,,8,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,